name ,code,HEX,company
delicate pink,9427,F2E2E8,Asian Paints
candy floss,9426,EFCFE4,Asian Paints
morning rays,9424,DCA0CB,Asian Paints
soft petals,9423,D693C1,Asian Paints
pink water,9422,CC79B0,Asian Paints
fabric pink,9421,994264,Asian Paints
royal satin,8165,6D4358,Asian Paints
zinnia pink-n,9586,D7A3C9,Asian Paints
mauve spring-n,9587,C983B6,Asian Paints
allium bloom-n,9588,BB7BB1,Asian Paints
rich rose-n,9589,B06A9F,Asian Paints
mauve marvel-n,9590,A15E88,Asian Paints
sweet prune-n,9591,765375,Asian Paints
indigo wine-n,9592,71476A,Asian Paints
purple verve,9101,6A475C,Asian Paints
pastell rosa-n,9593,E1F2FF,Asian Paints
true violet-n,9594,B987B7,Asian Paints
mulled berry-n,9595,A7799F,Asian Paints
cosmos pink-n,9596,AC6EA2,Asian Paints
blue plum-n,9597,955D8F,Asian Paints
onion peel-n,9598,915788,Asian Paints
juniper berries-n,9599,754773,Asian Paints
purple margarita-n,9600,64405E,Asian Paints
study in scarlet,7114,E7D0E2,Asian Paints
tickled pink,7113,E0C1DE,Asian Paints
dancing pink,9121,C8ADCE,Asian Paints
wisteria,7112,C8A8CF,Asian Paints
japanese lilac,7111,BB95C3,Asian Paints
happy hyacinth,7110,AA7EB2,Asian Paints
purple martini-n,9601,8F588E,Asian Paints
iris impact,7109,6A4C6E,Asian Paints
catmint blossom-n,9602,CAB1DA,Asian Paints
pink reserve,9120,B296BE,Asian Paints
orchidia-n,9603,A785B5,Asian Paints
queenâ€™s parlour-n,9604,9E7AB1,Asian Paints
gulabi muscat-n,9605,7A6187,Asian Paints
purple lore-n,9606,5F4467,Asian Paints
purple galaxy-n,9607,654763,Asian Paints
regal air-n,9608,4C4556,Asian Paints
lilac tint-n,9609,D8CDE2,Asian Paints
lilac linen-n,K285,D1C2DF,Asian Paints
lavender lyric-n,9610,B1A0C2,Asian Paints
kadambari-n,9611,997FA9,Asian Paints
violet streak-n,9612,7.75E+88,Asian Paints
aronia purple-n,9613,705B83,Asian Paints
purple mystique-n,9614,685B7D,Asian Paints
thangjing-n,9615,625977,Asian Paints
wisteria lane-n,9616,AD98C9,Asian Paints
dianthus-n,9617,A584B9,Asian Paints
primrose purple-n,9618,73618D,Asian Paints
rajputana purple-n,9619,656195,Asian Paints
saintpaulia violet-n,9620,5B5581,Asian Paints
aurora purple-n,9621,534977,Asian Paints
true indigo-n,9622,564B62,Asian Paints
purple gem-n,9623,50415C,Asian Paints
lavender laugh,7147,DED6DC,Asian Paints
mauve hint,7146,CFC5D1,Asian Paints
wisteria wish,7145,C3B7C7,Asian Paints
italian iris,7144,ACA6B8,Asian Paints
lilac dusk-n,9624,746F7F,Asian Paints
purple illusion,7143,898195,Asian Paints
vibrant mauve,7142,7.56E+83,Asian Paints
blue grape-n,9625,554D5D,Asian Paints
spring bouquet,7154,E0D7E1,Asian Paints
caprice,7008,CEC2D9,Asian Paints
mount olympus,7152,BBB1CD,Asian Paints
heirloom,7151,A097BA,Asian Paints
fuchsia fiesta-n,9626,978CB5,Asian Paints
regal jewel,7150,887DA3,Asian Paints
royal mauve,7149,5E506C,Asian Paints
emperor's purple-n,9627,53465B,Asian Paints
berry shake,9139,DCD7DA,Asian Paints
fading light-n,9628,DFDAE7,Asian Paints
quartz illusion,7162,D9D0E3,Asian Paints
potpourri,7161,CAC0DF,Asian Paints
dash of purple,7160,B4ADD4,Asian Paints
velvet night,7159,A49DCB,Asian Paints
royal robes,7158,827AB0,Asian Paints
violet kick-n,9629,5C527A,Asian Paints
carefree breeze,7171,D5D2DF,Asian Paints
misty purple,7170,C8C3D8,Asian Paints
lilac feather-n,9630,C6C3DC,Asian Paints
reverie,7051,B5B4CD,Asian Paints
orchid bloom,7168,A2A3C6,Asian Paints
tiffany,7167,9B9DC4,Asian Paints
intense purple,7166,7D7CAB,Asian Paints
dark triumph,7165,5.24E+72,Asian Paints
lavender sprig,7187,D9D5D9,Asian Paints
gypsy queen,719,CDC9D1,Asian Paints
pallid violet,7185,8839FF,Asian Paints
still pond,7184,A7A7B4,Asian Paints
garden beauty,7183,8C8C9C,Asian Paints
purple pansy,7182,6E6C7B,Asian Paints
victorian purple,7181,504D55,Asian Paints
charcoal plum-n,9631,47454F,Asian Paints
soft ballad,7196,DFDBE0,Asian Paints
cranberry ice,7195,D1CED9,Asian Paints
young berry,7194,BCB9CB,Asian Paints
princess purple,7193,A3A5B9,Asian Paints
senate purple,7192,9699AF,Asian Paints
mulberry,7191,7C7D93,Asian Paints
vintage velvet,7190,6C6D84,Asian Paints
lineage,7189,4F4D5A,Asian Paints
first ray,7204,E1DFE3,Asian Paints
delicate doll,7203,D5D5E0,Asian Paints
purple pride,7202,C7C8DC,Asian Paints
lined with lilac,7201,9FA4C6,Asian Paints
royal glimmer,7200,9298BC,Asian Paints
grape,7199,8087AD,Asian Paints
plum berry,7198,73799F,Asian Paints
rare orchid,7197,53516F,Asian Paints
natural beauty,7212,E3E3E6,Asian Paints
innocence,7211,D8DBE7,Asian Paints
hyacinth mist,7210,C8CEE4,Asian Paints
violet pond,7209,BAC2E1,Asian Paints
petal soft,7208,A4AED6,Asian Paints
classic purple,7207,8839FF,Asian Paints
purple heart,7206,6977B0,Asian Paints
purple chiffon,7205,52578D,Asian Paints
pearly gates,7219,E1E3E7,Asian Paints
beautiful berry,7218,CCD3E3,Asian Paints
lilac ribbon-n,9632,C7CDE7,Asian Paints
berry blush,7217,B8C3E2,Asian Paints
edge of dawn,7216,9FAED6,Asian Paints
french purple,7215,8298C9,Asian Paints
purple robe,7214,6A7FB7,Asian Paints
bluebell beauty-n,9633,5D6BA6,Asian Paints
house of windsor,7227,CFD4DE,Asian Paints
violet vista,7226,B7BFD3,Asian Paints
purple shell,7225,9FA9C2,Asian Paints
rum & raisin,7224,8896B1,Asian Paints
grape shake,7223,74829F,Asian Paints
mountain vale,7222,667492,Asian Paints
convent blue-n,9634,536684,Asian Paints
ganges midnight-n,9635,455069,Asian Paints
dusky iris,7235,D5DADC,Asian Paints
oracle,720,C2C9D1,Asian Paints
ice cube,7233,B0BAC8,Asian Paints
thunder,7232,9EA9B9,Asian Paints
pale orchid,7231,808DA0,Asian Paints
energy,7230,626B7D,Asian Paints
ladakh nights-n,9636,3D4255,Asian Paints
pantry plum,7229,484C56,Asian Paints
placid blue-n,9637,5981B6,Asian Paints
eastern bluebird-n,9638,FFFFFF,Asian Paints
columbine bloom-n,9639,5470A9,Asian Paints
istanbul blue-n,9640,49689E,Asian Paints
delphinium bloom-n,9641,424F81,Asian Paints
sharp navy-n,9642,3B4F7D,Asian Paints
sailorâ€™s stripes-n,9643,415273,Asian Paints
monsoon midnight-n,9644,38435F,Asian Paints
stratos-n,9645,DFE6EE,Asian Paints
blue cloud-n,9646,CEDEEA,Asian Paints
pool party,7250,C4D7E6,Asian Paints
morning sky,7249,A8C4E2,Asian Paints
blue charm,7248,94B3D8,Asian Paints
blue glory,7247,739BCB,Asian Paints
ink blue,7246,507BB2,Asian Paints
naval club-n,9647,305B90,Asian Paints
blue dawn,7275,C6D6E1,Asian Paints
summer sky,7274,AFC8DD,Asian Paints
scuba blue,7273,96B2CF,Asian Paints
washed indigo,7272,96B2CF,Asian Paints
blue pottery,7271,7A9DC2,Asian Paints
blue clover,1218,5A81A9,Asian Paints
oriental blue,1306,2E5282,Asian Paints
deep denim-n,9648,3E4158,Asian Paints
dove blue-n,9649,A1C5E5,Asian Paints
lake grey-n,9650,7294B3,Asian Paints
lucky sapphire,9150,5E82A8,Asian Paints
pangong blue-n,9651,407EB6,Asian Paints
persian pottery-n,9652,3D6992,Asian Paints
cairo blue-n,9653,26638E,Asian Paints
cobalt hit-n,9654,2A5684,Asian Paints
grand grape,7221,43505F,Asian Paints
classic,1243,C8D9E1,Asian Paints
sail away,7298,B6CEDB,Asian Paints
blissful blue,7297,A0C0D4,Asian Paints
far horizons,7296,85A8C0,Asian Paints
picture perfect,7295,6F95B2,Asian Paints
caspian sea,7294,4C7390,Asian Paints
